"date","GME.Open","GME.High","GME.Low","GME.Close","GME.Volume","GME.Adjusted"
2019-05-31,7.47,7.66,7.32,7.58,3983100,7.58
2019-06-03,7.58,7.65,7.42,7.47,5229100,7.47
2019-06-04,7.58,7.85,7.52,7.82,10430100,7.82
2019-06-05,5.49,5.59,4.71,5.04,39354200,5.04
2019-06-06,4.98,5.13,4.84,5.13,13558000,5.13
2019-06-07,5.13,5.23,4.99,5.02,10591300,5.02
2019-06-10,5.37,5.55,5.29,5.44,18926500,5.44
2019-06-11,5.53,5.85,5.49,5.72,13423800,5.72
2019-06-12,5.68,5.8,5.5,5.5,4914300,5.5
2019-06-13,5.55,5.73,5.49,5.7,5840800,5.7
2019-06-14,5.7,5.83,5.61,5.63,5304600,5.63
2019-06-17,5.63,5.81,5.6,5.7,3686500,5.7
2019-06-18,5.71,5.83,5.67,5.73,4070400,5.73
2019-06-19,5.75,5.75,5.61,5.63,2973300,5.63
2019-06-20,5.66,5.69,5.52,5.53,3933800,5.53
2019-06-21,5.52,5.52,5.31,5.42,8954300,5.42
2019-06-24,5.41,5.47,5.28,5.37,4823300,5.37
2019-06-25,5.34,5.53,5.32,5.45,3085400,5.45
2019-06-26,5.47,5.52,5.38,5.47,3551800,5.47
2019-06-27,5.46,5.59,5.43,5.54,3756000,5.54
2019-06-28,5.53,5.58,5.44,5.47,3896400,5.47
2019-07-01,5.53,5.57,5.34,5.36,4310800,5.36
2019-07-02,5.35,5.45,5.32,5.38,5643500,5.38
2019-07-03,5.41,5.43,5.27,5.31,2562100,5.31
2019-07-05,5.3,5.64,5.27,5.52,12894600,5.52
2019-07-08,5.5,5.53,5.42,5.45,6592700,5.45
2019-07-09,5.48,5.55,5.28,5.31,11721900,5.31
2019-07-10,5.35,5.37,5.17,5.18,10853300,5.18
2019-07-11,4.98,5.01,4.73,4.84,16778200,4.84
2019-07-12,4.86,4.93,4.81,4.91,4392200,4.91
2019-07-15,4.87,4.89,4.75,4.75,3068400,4.75
2019-07-16,4.76,4.81,4.63,4.63,5970000,4.63
2019-07-17,4.63,4.64,4.33,4.38,7643100,4.38
2019-07-18,4.39,4.42,4.12,4.2,8585700,4.2
2019-07-19,4.22,4.42,4.22,4.32,10946500,4.32
2019-07-22,4.33,4.4,4.12,4.14,5488700,4.14
2019-07-23,4.15,4.2,3.98,4.09,7703500,4.09
2019-07-24,4.08,4.2,4.05,4.08,6020600,4.08
2019-07-25,4.1,4.32,3.97,3.98,5790000,3.98
2019-07-26,4,4.08,3.96,4.01,3209000,4.01
2019-07-29,4.02,4.16,4.02,4.12,4327100,4.12
2019-07-30,4.1,4.13,3.9,4.03,5271400,4.03
2019-07-31,4.03,4.18,4,4.02,5208900,4.02
2019-08-01,4.02,4.06,3.78,3.84,5596500,3.84
2019-08-02,3.83,3.89,3.75,3.78,3594700,3.78
2019-08-05,3.72,3.75,3.58,3.71,5681800,3.71
2019-08-06,3.73,3.82,3.63,3.81,5157400,3.81
2019-08-07,3.74,3.85,3.66,3.81,5856100,3.81
2019-08-08,3.84,3.91,3.77,3.89,2306700,3.89
2019-08-09,3.83,3.86,3.59,3.59,3079400,3.59
2019-08-12,3.58,3.62,3.44,3.51,2677600,3.51
2019-08-13,3.48,3.76,3.47,3.47,4504500,3.47
2019-08-14,3.39,3.42,3.19,3.32,6081900,3.32
2019-08-15,3.32,3.41,3.15,3.21,5888400,3.21
2019-08-16,3.25,3.36,3.21,3.32,3130700,3.32
2019-08-19,3.37,3.47,3.34,3.38,2887500,3.38
2019-08-20,3.35,3.46,3.28,3.42,4260000,3.42
2019-08-21,3.5,3.62,3.44,3.54,5910900,3.54
2019-08-22,3.97,4.25,3.72,3.87,29177300,3.87
2019-08-23,3.84,3.9,3.56,3.65,8660900,3.65
2019-08-26,3.72,4.04,3.65,3.82,10319400,3.82
2019-08-27,3.87,3.93,3.68,3.7,5701000,3.7
2019-08-28,3.7,3.97,3.67,3.88,6439200,3.88
2019-08-29,3.93,4.29,3.75,4.23,13363500,4.23
2019-08-30,4.26,4.36,3.92,3.97,10634600,3.97
